"Report Name: Ad Group Report"
"Report Time: 5/3/2017,5/8/2017"
"Time Zone: (GMT) Greenwich Mean Time : Dublin, Edinburgh, Lisbon, London"
"Last Completed Available Day: 5/8/2017 6:45:00 PM (GMT)"
"Last Completed Available Hour: 5/8/2017 6:45:00 PM (GMT)"
"Report Aggregation: Hourly"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 40"

"AdGroupId","AdGroupName","CampaignId","CampaignName","Clicks","CostPerConversion","Spend","ConversionRate","Impressions","GregorianDate","Hour"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/4/2017","2"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/7/2017","3"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/8/2017","5"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/4/2017","6"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/6/2017","7"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/8/2017","8"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","3","5/4/2017","10"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/7/2017","10"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/8/2017","11"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/4/2017","12"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","6","5/5/2017","12"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/3/2017","13"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/7/2017","13"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/8/2017","13"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/3/2017","14"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/3/2017","15"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/4/2017","15"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/6/2017","15"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/3/2017","16"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/4/2017","16"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/5/2017","16"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/7/2017","16"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/7/2017","17"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/3/2017","18"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/4/2017","18"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/7/2017","18"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/8/2017","18"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","3","5/7/2017","19"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/8/2017","19"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/3/2017","20"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/4/2017","20"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","6","5/5/2017","20"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","5","5/4/2017","21"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","2","5/6/2017","21"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/7/2017","21"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/3/2017","22"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/4/2017","22"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/5/2017","22"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/4/2017","23"
"1151188780242093","Ad group #1 Mobile Roaming","269774921","Mobile Roaming Campaign","0","","0.00","","1","5/5/2017","23"

"©2017 Microsoft Corporation. All rights reserved. "
